index,link,download,error,type,duration
48,http://www.youtube.com/watch?v=qZSiDKd5hXg,yes,no,kinh_te,12
49,http://www.youtube.com/watch?v=W0fwAtJ881s,yes,no,kinh_te,10
50,http://www.youtube.com/watch?v=tqOTLEu8ep4,yes,no,kinh_te,14
51,http://www.youtube.com/watch?v=1GVeu2gHzv0,yes,no,kinh_te,12
52,http://www.youtube.com/watch?v=we5u2wE5NiY,yes,no,kinh_te,17
53,http://www.youtube.com/watch?v=IjdOjPMszJg,yes,no,kinh_te,19
54,http://www.youtube.com/watch?v=2leKPP3ybjA,yes,no,kinh_te,18
55,http://www.youtube.com/watch?v=I0R96ZJtyvY,yes,no,kinh_te,8
56,http://www.youtube.com/watch?v=K6licSGfW9Y,yes,no,kinh_te,13
57,http://www.youtube.com/watch?v=ZgES8SaD4HE,yes,no,kinh_te,16
58,http://www.youtube.com/watch?v=mOpRHKs7peA,yes,no,kinh_te,17
59,http://www.youtube.com/watch?v=evpT0CkweUQ,yes,no,kinh_te,13
60,http://www.youtube.com/watch?v=E_L-Wd-D6tE,yes,no,kinh_te,15
61,http://www.youtube.com/watch?v=ZjpCqARCz5U,yes,no,kinh_te,17
62,http://www.youtube.com/watch?v=9svOByPWXuY,yes,no,kinh_te,16
63,http://www.youtube.com/watch?v=TnI41HVALMI,yes,no,kinh_te,14
64,http://www.youtube.com/watch?v=aJIuS9ONGTo,yes,no,kinh_te,16
65,http://www.youtube.com/watch?v=5V4aK9gn3ME,yes,no,kinh_te,11
66,http://www.youtube.com/watch?v=KudO-9XQE-M,yes,no,kinh_te,15
67,http://www.youtube.com/watch?v=NOksIOVBiT0,yes,no,kinh_te,18
68,http://www.youtube.com/watch?v=RPSFsWUMiCM,yes,no,kinh_te,14
69,http://www.youtube.com/watch?v=k6h7GH2Xw58,yes,no,kinh_te,12
70,http://www.youtube.com/watch?v=u_GmKwg8apE,yes,no,kinh_te,18
71,http://www.youtube.com/watch?v=iLQDGiKEyZo,yes,no,kinh_te,16
72,http://www.youtube.com/watch?v=3_m6_WCUr-8,yes,no,kinh_te,16
73,http://www.youtube.com/watch?v=Ar2VjH4B1qs,yes,no,kinh_te,13
74,http://www.youtube.com/watch?v=CCsJ_qrmFCw,yes,no,kinh_te,14
75,http://www.youtube.com/watch?v=fvlAkJSS4M4,yes,no,kinh_te,17
76,http://www.youtube.com/watch?v=u5Ayn7QqZms,yes,no,kinh_te,10
77,http://www.youtube.com/watch?v=rCwNl3pmsxc,yes,no,kinh_te,15
78,http://www.youtube.com/watch?v=ErKJTNfvx88,yes,no,kinh_te,15
79,http://www.youtube.com/watch?v=kB6iWyD3Vp8,yes,no,kinh_te,14
80,http://www.youtube.com/watch?v=ACS-njBjYbg,yes,no,kinh_te,11
81,http://www.youtube.com/watch?v=49zwofFUVrk,yes,no,kinh_te,15
82,http://www.youtube.com/watch?v=mc7VdM83hN0,yes,no,kinh_te,19
83,http://www.youtube.com/watch?v=JbB7VgRHCNc,yes,no,kinh_te,14
84,http://www.youtube.com/watch?v=hsuN0mb-GOY,yes,no,kinh_te,16
85,http://www.youtube.com/watch?v=8ya7dhYoPIY,yes,no,kinh_te,11
86,http://www.youtube.com/watch?v=dWaIH8N_Y2g,yes,no,kinh_te,35
87,http://www.youtube.com/watch?v=_-GM_lrfNig,yes,no,kinh_te,36
88,http://www.youtube.com/watch?v=zsb0K-M3IdQ,yes,no,kinh_te,39
89,http://www.youtube.com/watch?v=pmFik-Ri560,yes,no,kinh_te,37
90,http://www.youtube.com/watch?v=h1ajyQo3oaM,yes,no,kinh_te,38
91,http://www.youtube.com/watch?v=r_csOHN9JRI,yes,no,kinh_te,39
92,http://www.youtube.com/watch?v=wWV4T5M6KHE,yes,no,kinh_te,38
93,http://www.youtube.com/watch?v=phixTPoLCWI,yes,no,kinh_te,37
94,http://www.youtube.com/watch?v=0a-f35dn3Ac,yes,no,kinh_te,39
